,name,moves_san
514,French Defense:Winawer Variation:Positional Variation:,1.e4 e6 2.d4 d5 3.Nc3 Bb4 4.e5 c5 5.a3 Bxc3+ 6.bxc3 Ne7 7.Nf3 
515,French Defense:Winawer Variation:Retreat  Variation:Armenian Line,1.e4 e6 2.d4 d5 3.Nc3 Bb4 4.e5 c5 5.a3 Ba5 6.b4 cxd4
516,French Defense:Winawer Variation:Retreat  Variation:General,1.e4 e6 2.d4 d5 3.Nc3 Bb4 4.e5 c5 5.a3 Ba5
517,French Defense:Winawer Variation:Winckelmann-Riemer Gambit:,1.e4 e6 2.d4 d5 3.Nc3 Bb4 4.a3 
518,French Defense:Wing Gambit::,1.e4 e6 2.Nf3 d5 3.e5 c5 4.b4 
519,Grob Opening:General::,1.g4 
520,Grob Opening:Grob Gambit:Declined:,1.g4 d5 2.Bg2 c6
521,Grob Opening:Grob Gambit:Fritz Gambit:,1.g4 d5 2.Bg2 Bxg4 3.c4 
522,Grob Opening:Keene Defense::,1.g4 d5 2.h3 e5 3.Bg2 c6
523,Gruenfeld Defense:Botvinnik Variation::,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.e3 O-O 6.Qb3 e6
524,Gruenfeld Defense:Brinckmann Attack::,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Bf4 
525,Gruenfeld Defense:Brinckmann Attack:Grünfeld Gambit:,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Bf4 Bg7 5.e3 O-O
526,Gruenfeld Defense:Brinckmann Attack:Grünfeld Gambit:Accepted,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Bf4 Bg7 5.e3 O-O 6.cxd5 Nxd5 7.Nxd5 Qxd5 8.Bxc7 
527,Gruenfeld Defense:Brinckmann Attack:Grünfeld Gambit:Botvinnik Variation,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Bf4 Bg7 5.e3 O-O 6.Rc1 c5 7.dxc5 Be6
528,Gruenfeld Defense:Brinckmann Attack:Grünfeld Gambit:Capablanca Variation,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Bf4 Bg7 5.e3 O-O 6.Rc1 
529,Gruenfeld Defense:Brinckmann Attack:Reshevsky Gambit:,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Bf4 Bg7 5.e3 O-O 6.Rc1 c5 7.dxc5 Qa5
530,Gruenfeld Defense:Exchange Variation::,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5
531,Gruenfeld Defense:Exchange Variation:Classical Variation:,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Bc4 
532,Gruenfeld Defense:Exchange Variation:Larsen Variation:,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Bc4 O-O 8.Ne2 Qd7
533,Gruenfeld Defense:Exchange Variation:Modern Exchange Variation:,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Nf3 
534,Gruenfeld Defense:Exchange Variation:Modern Exchange Variation:Kramnik's line,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Nf3 c5 8.h3 
535,Gruenfeld Defense:Exchange Variation:Modern Exchange Variation:Pawn Grab line,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Nf3 c5 8.Rb1 O-O 9.Be2 Nc6 10.d5 Bxc3+
536,Gruenfeld Defense:Exchange Variation:Nadanian Attack:,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.Na4 
537,Gruenfeld Defense:Exchange Variation:Seville Variation:,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Bc4 O-O 8.Ne2 c5 9.O-O Nc6 10.Be3 Bg4 11.f3 Na5 12.Bxf7+ 
538,Gruenfeld Defense:Exchange Variation:Simagin's Improved Variation:,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Bc4 O-O 8.Ne2 Nc6
539,Gruenfeld Defense:Exchange Variation:Sokolsky Variation:,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Bc4 O-O 8.Ne2 c5 9.O-O Nc6 10.Be3 cxd4 11.cxd4 Bg4 12.f3 Na5 13.Bd3 Be6 14.d5 
540,Gruenfeld Defense:Exchange Variation:Spassky Variation:,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Bc4 O-O 8.Ne2 c5 9.O-O Nc6 10.Be3 cxd4 11.cxd4 
541,Gruenfeld Defense:Exchange Variation:Spassky Variation:,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Bc4 O-O 8.Ne2 c5
542,Gruenfeld Defense:Exchange Variation:Spassky Variation:,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nxc3 6.bxc3 Bg7 7.Bc4 O-O 8.Ne2 c5 9.O-O Nc6 10.Be3 cxd4 11.cxd4 Bg4 12.f3 Na5 13.Bd3 Be6
543,Gruenfeld Defense:Flohr Defense::,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.e3 O-O 6.Bd3 c6 7.O-O Bf5
544,Gruenfeld Defense:Flohr Variation::,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qa4+ 
545,Gruenfeld Defense:General::,1.d4 Nf6 2.c4 g6 3.Nc3 d5
546,Gruenfeld Defense:Lutikov Variation::,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.f3 
547,Gruenfeld Defense:Makogonov Variation::,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.e3 O-O 6.b4 
548,Gruenfeld Defense:Opocensky Variation::,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.e3 O-O 6.Bd2 
549,Gruenfeld Defense:Russian Variation::,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qb3 
550,Gruenfeld Defense:Russian Variation:Accelerated Variation:,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Qb3 
551,Gruenfeld Defense:Russian Variation:Byrne (Simagin) Variation:,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qb3 dxc4 6.Qxc4 O-O 7.e4 Nc6
552,Gruenfeld Defense:Russian Variation:Hungarian Variation:,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qb3 dxc4 6.Qxc4 O-O 7.e4 a6
553,Gruenfeld Defense:Russian Variation:Prins Variation:,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qb3 dxc4 6.Qxc4 O-O 7.e4 Na6
554,Gruenfeld Defense:Russian Variation:Smyslov Variation:,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qb3 dxc4 6.Qxc4 O-O 7.e4 Bg4
555,Gruenfeld Defense:Russian Variation:Smyslov Variation:,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qb3 dxc4 6.Qxc4 O-O 7.e4 Bg4 8.Be3 Nfd7 9.Qb3 
556,Gruenfeld Defense:Russian Variation:Szabo (Boleslavsky):,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qb3 dxc4 6.Qxc4 O-O 7.e4 c6
557,Gruenfeld Defense:Russian Variation:With e4:,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qb3 dxc4 6.Qxc4 O-O 7.e4 
558,Gruenfeld Defense:Smyslov Defense::,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.e3 O-O 6.Bd3 c6 7.O-O Bg4
559,Gruenfeld Defense:Three Knights Variation::,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7
560,Gruenfeld Defense:Three Knights Variation:Burille Variation:,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.e3 
561,Gruenfeld Defense:Three Knights Variation:Burille Variation:Reversed Tarrasch,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.e3 c5 6.Be2 cxd4 7.exd4 Nc6 8.O-O O-O
562,Gruenfeld Defense:Three Knights Variation:Hungarian Attack:,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Bf4 
563,Gruenfeld Defense:Three Knights Variation:Hungarian Variation:,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Bf4 O-O 6.e3 
564,Gruenfeld Defense:Three Knights Variation:Paris Variation:,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.e3 O-O 6.Bd3 
565,Gruenfeld Defense:Three Knights Variation:Petrosian System:,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Bg5 
566,Gruenfeld Defense:Three Knights Variation:Vienna Variation:,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.e3 O-O 6.Qb3 
567,Gruenfeld Defense:Zaitsev Gambit::,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.h4 
568,Gunderam Defense:General::,1.e4 e5 2.Nf3 Qe7
569,Horwitz Defense:General::,1.d4 e6
570,Hungarian Opening:Catalan Formation::,1.g3 d5 2.Bg2 e6
571,Hungarian Opening:Dutch Defense::,1.g3 f5
572,Hungarian Opening:General::,1.g3 
573,Hungarian Opening:Indian Defense::,1.g3 Nf6
574,Hungarian Opening:Reversed Modern Defense::,1.g3 d5 2.Bg2 c5
575,Hungarian Opening:Sicilian Invitation::,1.g3 c5
576,Hungarian Opening:Slav Formation::,1.g3 d5 2.Bg2 c6
577,Hungarian Opening:Symmetrical Variation::,1.g3 g6
578,Indian Game Defense:Pseudo-Queen's Indian:Marienbad System:,1.d4 Nf6 2.Nf3 b6 3.g3 Bb7 4.Bg2 c5
579,Indian Game:Anti-Grünfeld:Advance Variation:,1.d4 Nf6 2.c4 g6 3.d5 
580,Indian Game:Anti-Grünfeld:Alekhine Variation:,1.d4 Nf6 2.c4 g6 3.f3 
581,Indian Game:Anti-Nimzo-indian::,1.d4 Nf6 2.c4 e6 3.Nf3 
582,Indian Game:Budapest Defense::,1.d4 Nf6 2.c4 e5
583,Indian Game:Colle System:King's Indian Variation:,1.d4 Nf6 2.Nf3 g6 3.e3 Bg7 4.Bd3 d6
584,Indian Game:Czech-Indian::,1.d4 Nf6 2.Nf3 c6
585,Indian Game:Dzindzi-Indian Defense::,1.d4 Nf6 2.c4 e6 3.Nf3 a6
586,Indian Game:General::,1.d4 Nf6
587,Indian Game:Kingside Fianchetto::,1.d4 Nf6 2.c4 g6
588,Indian Game:Knights Variation:General:,1.d4 Nf6 2.Nf3 
589,Indian Game:London System::,1.d4 Nf6 2.Nf3 e6 3.Bf4 
590,Indian Game:London System::,1.d4 Nf6 2.Nf3 g6 3.Bf4 
591,Indian Game:Normal Variation::,1.d4 Nf6 2.c4 
592,Indian Game:Paleface Attack::,1.d4 Nf6 2.f3 
593,Indian Game:Polish Variation::,1.d4 Nf6 2.Nf3 b5
594,Indian Game:Przepiorka Variation::,1.d4 Nf6 2.Nf3 g6 3.g3 
595,Indian Game:Pseudo-Benko::,1.d4 Nf6 2.Nf3 c5 3.d5 b5
596,Indian Game:Pseudo-King's Indian Variation::,1.d4 Nf6 2.Nf3 g6
597,Indian Game:Pseudo-Queen's Indian::,1.d4 Nf6 2.Nf3 b6
598,Indian Game:Queen's Pawn Opening::,1.d4 Nf6 2.c4 e6
599,Indian Game:Reversed Chigorin Defense::,1.d4 Nf6 2.Nc3 c5
600,Indian Game:Saemisch-Indian::,1.d4 Nf6 2.c4 b6
601,Indian Game:Seirawan Attack::,1.d4 Nf6 2.c4 e6 3.Bg5 
602,Indian Game:Spielmann-Indian::,1.d4 Nf6 2.Nf3 c5
603,Indian Game:Tartakower Attack::,1.d4 Nf6 2.g3 
604,Indian Game:Wade-Tarkatower Defense::,1.d4 Nf6 2.Nf3 d6
605,Indian Game:Yusupov-Rubinstein System::,1.d4 Nf6 2.Nf3 e6 3.e3 
606,Italian Game:Anti-Fried Liver Defense::,1.e4 e5 2.Nf3 Nc6 3.Bc4 h6
607,Italian Game:Bird's Attack::,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.b4 
608,Italian Game:Classical Variation::,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6
609,Italian Game:Classical Variation:Albin Gambit:,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.O-O 
610,Italian Game:Classical Variation:Center Atttack:,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.d4 
611,Italian Game:Classical Variation:Center Holding Variation:,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Qe7 5.d4 Bb6
612,Italian Game:Classical Variation:Closed Variation:,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Qe7
613,Italian Game:Classical Variation:De la Bourdonnais Variation:,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 d6 5.d4 exd4 6.cxd4 Bb6
614,Italian Game:Classical Variation:General:,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 
615,Italian Game:Classical Variation:Giuoco Pianissimo:,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.d3 
616,Italian Game:Classical Variation:Giuoco Pianissimo:Main line,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.d3 a6 6.Bb3 Ba7 7.h3 O-O 8.O-O d6 9.Re1 
617,Italian Game:Classical Variation:Greco Gambit:,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.d4 exd4 6.e5 d5
618,Italian Game:Classical Variation:Greco Gambit:Anderssen Variation,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.d4 exd4 6.e5 d5 7.Bb5 Ne4 8.cxd4 Bb4+
619,Italian Game:Classical Variation:Greco Gambit:Greco Variation,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.d4 exd4 6.cxd4 Bb4+ 7.Nc3 Nxe4 8.O-O Nxc3
620,Italian Game:Classical Variation:Greco Gambit:Main Line,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.d4 exd4 6.cxd4 Bb4+ 7.Nc3 Nxe4 8.O-O Bxc3
621,Italian Game:Classical Variation:Greco Gambit:Mason Gambit,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.d4 exd4 6.O-O 
622,Italian Game:Classical Variation:Greco Gambit:Moeller-Therkatz Attack,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.d4 exd4 6.cxd4 Bb4+ 7.Nc3 Nxe4 8.O-O Bxc3 9.d5 
623,Italian Game:Classical Variation:Greco Gambit:Traditional Line,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.d4 exd4 6.cxd4 
624,Italian Game:Deutz Gambit::,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.O-O Nf6 5.d4 
625,Italian Game:Evans Gambit:Anderssen Defense:,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Ba5 6.d4 exd4 7.O-O Nf6
626,Italian Game:Evans Gambit:Anderssen Variation:,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Be7
627,Italian Game:Evans Gambit:Anderssen Variation:Cordel Line,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Be7 6.d4 Na5
628,Italian Game:Evans Gambit:Declined:,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bb6
629,Italian Game:Evans Gambit:MacDonnell Defense:,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Bc5
630,Italian Game:Evans Gambit:MacDonnell Defense:Main Line,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Bc5 6.d4 exd4 7.O-O d6 8.cxd4 Bb6
631,Italian Game:Evans Gambit:Main Line:,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Ba5
632,Italian Game:Evans Gambit:Mieses Defense:,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Ba5 6.d4 exd4 7.O-O Nge7
633,Italian Game:Evans Gambit:Pierce Defense:,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Ba5 6.d4 exd4
634,Italian Game:Evans Gambit:Slow Variation:,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Ba5 6.O-O 
635,Italian Game:Evans Gambit:Stone-Ware Variation:,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Bd6
636,Italian Game:Evans Gambit:Tartakower Attack:,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Ba5 6.d4 d6 7.Qb3 
637,Italian Game:General::,1.e4 e5 2.Nf3 Nc6 3.Bc4 
638,Italian Game:Giuoco Pianissimo::,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.d3 
639,Italian Game:Giuoco Pianissimo:Canal Variation:,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.d3 Nf6 5.Nc3 d6 6.Bg5 
640,Italian Game:Giuoco Pianissimo:Italian Four Knights Variation:,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.d3 Nf6 5.Nc3 
641,Italian Game:Giuoco Pianissimo:Normal:,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.d3 Nf6
642,Italian Game:Hungarian Defense::,1.e4 e5 2.Nf3 Nc6 3.Bc4 Be7
643,Italian Game:Hungarian Defense:Tartakower Variation:,1.e4 e5 2.Nf3 Nc6 3.Bc4 Be7 4.d4 exd4 5.c3 Nf6 6.e5 Ne4
644,Italian Game:Italian Variation::,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5
645,Italian Game:Schilling-Kostic Gambit::,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nd4
646,Italian Game:Scotch Gambit:Anderssen Attack:,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d4 exd4 5.O-O Nxe4 6.Re1 d5 7.Bxd5 Qxd5 8.Nc3 
647,Italian Game:Scotch Gambit:De Riviere Defense:,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d4 exd4 5.O-O Be7
648,Italian Game:Scotch Gambit:Janowski Defense:,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d4 exd4 5.O-O d6
649,Italian Game:Scotch Gambit:Max Lange Attack:,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d4 exd4 5.O-O Bc5
650,Italian Game:Scotch Gambit:Max Lange Attack:Long Variation,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d4 exd4 5.O-O Bc5 6.e5 d5 7.exf6 dxc4 8.Re1+ Be6 9.Ng5 Qd5 10.Nc3 Qf5 11.Nce4 
651,Italian Game:Scotch Gambit:Max Lange Attack:Spielmann Defense,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d4 exd4 5.O-O Bc5 6.e5 Ng4
652,Italian Game:Scotch Gambit:Walbrodt-Baird Gambit:,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d4 exd4 5.O-O Bc5 6.c3 
653,Italian Game:Two Knights Defense::,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6
654,Italian Game:Two Knights Defense:Fried Liver Attack:,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.Ng5 d5 5.exd5 Nxd5 6.Nxf7 
655,Italian Game:Two Knights Defense:Fritz Variation:,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.Ng5 d5 5.exd5 Nd4
656,Italian Game:Two Knights Defense:Knight Attack:Normal Variation,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.Ng5 d5
657,Italian Game:Two Knights Defense:Modern Bishop's Opening:,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d3 
658,Italian Game:Two Knights Defense:Perreux Variation:,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d4 exd4 5.Ng5 
659,Italian Game:Two Knights Defense:Polerio Defense:Bishop Check line,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.Ng5 d5 5.exd5 Na5 6.Bb5+ 
660,Italian Game:Two Knights Defense:Polerio Defense:Bogoljubow Variation,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.Ng5 d5 5.exd5 Na5 6.Bb5+ c6 7.dxc6 bxc6 8.Qf3 
661,Italian Game:Two Knights Defense:Polerio Defense:Kieseritsky Variation,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.Ng5 d5 5.exd5 Na5 6.d3 
662,Italian Game:Two Knights Defense:Polerio Defense:Suhle Defense,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.Ng5 d5 5.exd5 Na5 6.Bb5+ c6 7.dxc6 bxc6 8.Be2 h6
663,Italian Game:Two Knights Defense:Traxler Counterattack:Bishop sac line,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.Ng5 Bc5 5.Bxf7+ 
664,Italian Game:Two Knights Defense:Traxler Counterattack:Knight sac line,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.Ng5 Bc5 5.Nxf7 
665,Italian Game:Two Knights Defense:Ulvestad Variation:,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.Ng5 d5 5.exd5 b5
666,Kadas Opening:General::,1.h4 
667,Kangaroo Defense:General::,1.d4 e6 2.c4 Bb4+
668,Kangaroo Defense:Keres Defense:Transpositional Variation:,1.d4 e6 2.c4 Bb4+ 3.Nc3 
669,King Pawn Game:Alapin Opening::,1.e4 e5 2.Ne2 
670,King Pawn Game:Busch-Gass Gambit::,1.e4 e5 2.Nf3 Bc5
671,King Pawn Game:General::,1.e4 e5
672,King Pawn Game:Leonardis Variation::,1.e4 e5 2.d3 
673,King Pawn Game:Macleod Attack::,1.e4 e5 2.c3 
674,King Pawn Game:Maroczy Defense::,1.e4 d6 2.d4 e5
675,King Pawn Game:Tayler Opening::,1.e4 e5 2.Nf3 Nc6 3.Be2 
676,King Pawn Game:Tayler Opening:Inverted Hanham:,1.e4 e5 2.Nf3 Nc6 3.Be2 Nf6 4.d3 d5 5.Nbd2 
677,King Pawn Game:Wayward Queen Attack::,1.e4 e5 2.Qh5 
678,King's Gambit:Accepted:Abbazia Defense:,1.e4 e5 2.f4 exf4 3.Nf3 d5 4.exd5 Nf6
679,King's Gambit:Accepted:Becker Defense:,1.e4 e5 2.f4 exf4 3.Nf3 h6
680,King's Gambit:Accepted:Bishop's Gambit:,1.e4 e5 2.f4 exf4 3.Bc4 
681,King's Gambit:Accepted:Bishop's Gambit:Bledow Countergambit,1.e4 e5 2.f4 exf4 3.Bc4 d5 4.Bxd5 Nf6
682,King's Gambit:Accepted:Bishop's Gambit:Bogoljubow Defense,1.e4 e5 2.f4 exf4 3.Bc4 Nf6 4.Nc3 c6
683,King's Gambit:Accepted:Bishop's Gambit:Bogoljubow Variation,1.e4 e5 2.f4 exf4 3.Bc4 Nf6 4.Nc3 
684,King's Gambit:Accepted:Bishop's Gambit:Cozio Variation,1.e4 e5 2.f4 exf4 3.Bc4 Qh4+ 4.Kf1 d6
685,King's Gambit:Accepted:Bonsch-Osmolovsky Variation:,1.e4 e5 2.f4 exf4 3.Nf3 Ne7
686,King's Gambit:Accepted:Cunningham Defense:,1.e4 e5 2.f4 exf4 3.Nf3 Be7
687,King's Gambit:Accepted:Cunningham Defense:McCormick Defense,1.e4 e5 2.f4 exf4 3.Nf3 Be7 4.Bc4 Nf6
688,King's Gambit:Accepted:Fischer Defense:,1.e4 e5 2.f4 exf4 3.Nf3 d6
689,King's Gambit:Accepted:Greco Gambit:,1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 Bg7 5.h4 h6 6.d4 d6
690,King's Gambit:Accepted:Hanstein Gambit:,1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 Bg7 5.O-O 
691,King's Gambit:Accepted:Kieseritsky Gambit:Kolisch Defense,1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4 g4 5.Ne5 d6
692,King's Gambit:Accepted:Kieseritsky Gambit:Rubinstein Variation,1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4 g4 5.Ne5 Nf6 6.d4 
693,King's Gambit:Accepted:King's Knight Gambit:,1.e4 e5 2.f4 exf4 3.Nf3 
694,King's Gambit:Accepted:MacLeod Defense:,1.e4 e5 2.f4 exf4 3.Nf3 Nc6
695,King's Gambit:Accepted:Mason-Keres Gambit:,1.e4 e5 2.f4 exf4 3.Nc3 
696,King's Gambit:Accepted:Modern Defense:,1.e4 e5 2.f4 exf4 3.Nf3 d5
697,King's Gambit:Accepted:Schallop Defense:,1.e4 e5 2.f4 exf4 3.Nf3 Nf6
698,King's Gambit:Accepted:Traditional Variation:,1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 Bg7
699,King's Gambit:Declined:Classical Variation:,1.e4 e5 2.f4 Bc5
700,King's Gambit:Declined:Classical Variation:General,1.e4 e5 2.f4 Bc5 3.Nf3 d6 4.c3 
701,King's Gambit:Declined:Keene Defense:,1.e4 e5 2.f4 Qh4+ 3.g3 Qe7
702,King's Gambit:Declined:Miles Defense:,1.e4 e5 2.f4 Nc6 3.Nf3 f5
703,King's Gambit:Declined:Petrov's Defense:,1.e4 e5 2.f4 Nf6
704,King's Gambit:Declined:Queen's Knight Defense:,1.e4 e5 2.f4 Nc6
705,King's Gambit:Falkbeer Countergambit:Blackburne Attack:,1.e4 e5 2.f4 d5 3.Nf3 
706,King's Gambit:Falkbeer Countergambit:Charousek Gambit:,1.e4 e5 2.f4 d5 3.exd5 e4 4.d3 
707,King's Gambit:Falkbeer Countergambit:Charousek Gambit:Accepted,1.e4 e5 2.f4 d5 3.exd5 e4 4.d3 Nf6 5.dxe4 
708,King's Gambit:Falkbeer Countergambit:Modern Transfer:,1.e4 e5 2.f4 d5 3.exd5 exf4
709,King's Gambit:Falkbeer Countergambit:Nimzowitsch-Marshall Countergambit:,1.e4 e5 2.f4 d5 3.exd5 c6
710,King's Gambit:Falkbeer Countergambit:Staunton Line:,1.e4 e5 2.f4 d5 3.exd5 e4
711,King's Gambit:General::,1.e4 e5 2.f4 
712,King's Indian Attack:Double Fianchetto::,1.Nf3 d5 2.g3 g6
